일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2017-05-22,KAU16,"20,650",0,0,0,0,0,0,0,0
2017-05-19,KAU16,"20,650",0,0,"20,650","20,650","20,650","30,900","638,085,000","20,650"
2017-05-18,KAU16,"20,650",50,0.24,"20,600","20,650","20,600","26,324","542,414,400","20,605"
2017-05-17,KAU16,"20,600",0,0,"20,650","20,650","20,600","49,000","1,009,600,000","20,604"
2017-05-16,KAU16,"20,600",0,0,"20,600","20,600","20,600","8,807","181,424,200","20,600"
2017-05-15,KAU16,"20,600",50,0.24,"20,550","20,600","20,550","13,700","281,720,000","20,564"
2017-05-12,KAU16,"20,550",50,0.24,"20,550","20,550","20,550","2,937","60,355,350","20,550"
2017-05-11,KAU16,"20,500",0,0,"20,500","20,500","20,500","61,686","1,264,563,000","20,500"
2017-05-10,KAU16,"20,500",0,0,"20,500","20,500","20,500","39,500","809,750,000","20,500"
2017-05-08,KAU16,"20,500",0,0,"20,500","20,500","20,500","145,627","2,985,353,500","20,500"
2017-05-04,KAU16,"20,500",0,0,"20,500","20,500","20,500","1,303","26,711,500","20,500"
2017-05-02,KAU16,"20,500",0,0,"20,500","20,500","20,500","30,000","615,000,000","20,500"
2017-04-28,KAU16,"20,500",0,0,"20,500","20,500","20,500","35,000","717,500,000","20,500"
2017-04-27,KAU16,"20,500",0,0,"20,500","20,500","20,500","30,000","615,000,000","20,500"
2017-04-26,KAU16,"20,500",0,0,"20,500","20,500","20,500","147,581","3,025,410,500","20,500"
2017-04-25,KAU16,"20,500",0,0,"20,500","20,500","20,500","105,000","2,152,500,000","20,500"
2017-04-24,KAU16,"20,500",50,0.24,"20,500","20,500","20,450","14,000","286,800,000","20,486"
2017-04-21,KAU16,"20,450",0,0,0,0,0,"40,000","818,000,000","20,450"
2017-04-20,KAU16,"20,450",0,0,"20,450","20,450","20,450","30,000","613,500,000","20,450"
2017-04-19,KAU16,"20,450",0,0,0,0,0,"400,000","8,180,000,000","20,450"
2017-04-18,KAU16,"20,450",0,0,0,0,0,"500,000","10,225,000,000","20,450"
2017-04-17,KAU16,"20,450",0,0,"20,450","20,450","20,450","35,000","715,750,000","20,450"
2017-04-14,KAU16,"20,450",0,0,0,0,0,0,0,0
2017-04-13,KAU16,"20,450",0,0,"20,450","20,450","20,450","83,000","1,697,350,000","20,450"
2017-04-12,KAU16,"20,450",0,0,"20,500","20,500","20,450","218,590","4,470,595,000","20,452"
2017-04-11,KAU16,"20,450",0,0,0,0,0,"80,000","1,636,000,000","20,450"
2017-04-10,KAU16,"20,450",0,0,"20,500","20,500","20,450","14,300","293,085,000","20,495"
2017-04-07,KAU16,"20,450",-350,-1.68,"20,700","20,700","20,450","81,719","1,678,945,200","20,545"
2017-04-06,KAU16,"20,800",0,0,"20,800","20,800","20,800","15,000","311,500,000","20,767"
2017-04-05,KAU16,"20,800",100,0.48,"20,800","20,800","20,800","260,000","5,384,000,000","20,708"
2017-04-04,KAU16,"20,700",100,0.49,"20,700","20,700","20,700","270,000","5,565,000,000","20,611"
2017-04-03,KAU16,"20,600",0,0,0,0,0,"30,000","618,000,000","20,600"
2017-03-31,KAU16,"20,600",0,0,"20,600","20,600","20,600","8,000","164,800,000","20,600"
2017-03-30,KAU16,"20,600",0,0,0,0,0,"170,000","3,502,000,000","20,600"
2017-03-29,KAU16,"20,600",100,0.49,"20,500","20,600","20,500","215,100","4,411,060,000","20,507"
2017-03-28,KAU16,"20,500",0,0,"20,500","20,500","20,500","2,000","41,000,000","20,500"
2017-03-27,KAU16,"20,500",-100,-0.49,"20,500","20,500","20,500","20,000","410,000,000","20,500"
2017-03-24,KAU16,"20,600",0,0,"20,600","20,600","20,600","104,260","2,227,756,000","21,367"
2017-03-23,KAU16,"20,600",-200,-0.96,"20,500","20,600","20,500","17,000","349,600,000","20,565"
2017-03-22,KAU16,"20,800",-200,-0.95,"20,900","20,900","20,800","22,000","458,070,000","20,821"
2017-03-21,KAU16,"21,000",-300,-1.41,"21,000","21,000","21,000","153,859","3,267,039,000","21,234"
2017-03-20,KAU16,"21,300",-100,-0.47,"22,000","22,000","21,300","5,000","108,600,000","21,720"
2017-03-17,KAU16,"21,400",0,0,0,0,0,"300,000","6,420,000,000","21,400"
2017-03-16,KAU16,"21,400",0,0,"21,400","21,400","21,400","105,000","2,247,000,000","21,400"
2017-03-15,KAU16,"21,400",-100,-0.47,"21,300","21,400","21,300","200,000","4,297,500,000","21,488"
2017-03-14,KAU16,"21,500",-500,-2.27,"21,800","21,800","21,500","428,000","9,490,500,000","22,174"
2017-03-13,KAU16,"22,000",-200,-0.9,"22,000","22,000","22,000","25,000","550,000,000","22,000"
2017-03-10,KAU16,"22,200",-700,-3.06,"22,200","22,200","22,200","5,000","111,000,000","22,200"
2017-03-09,KAU16,"22,900",-100,-0.43,"23,000","23,000","22,900","10,000","229,500,000","22,950"
2017-03-08,KAU16,"23,000",-700,-2.95,0,0,0,0,0,0
2017-03-07,KAU16,"23,700",0,0,0,0,0,0,0,0
2017-03-06,KAU16,"23,700",-100,-0.42,"23,700","23,700","23,700","10,532","249,608,400","23,700"
2017-03-03,KAU16,"23,800",0,0,0,0,0,0,0,0
2017-03-02,KAU16,"23,800",-100,-0.42,"23,900","23,900","23,800","7,500","178,550,000","23,807"
2017-02-28,KAU16,"23,900",-100,-0.42,"23,900","23,900","23,900","25,000","597,500,000","23,900"
2017-02-27,KAU16,"24,000",0,0,"23,800","24,000","23,800","45,211","1,081,864,000","23,929"
2017-02-24,KAU16,"24,000",200,0.84,"24,000","24,000","24,000","58,400","1,401,600,000","24,000"
2017-02-23,KAU16,"23,800",-200,-0.83,"23,600","24,000","23,600","39,165","937,410,000","23,935"
2017-02-22,KAU16,"24,000",0,0,"24,000","24,000","24,000","17,284","414,816,000","24,000"
2017-02-21,KAU16,"24,000",0,0,"24,000","24,000","24,000","3,000","72,000,000","24,000"
2017-02-20,KAU16,"24,000",0,0,"24,000","24,000","24,000","3,000","72,000,000","24,000"
2017-02-17,KAU16,"24,000",0,0,"24,000","24,000","24,000","5,000","120,000,000","24,000"
2017-02-16,KAU16,"24,000",-1000,-4,"24,000","24,000","24,000","3,000","72,000,000","24,000"
2017-02-15,KAU16,"25,000",0,0,0,0,0,0,0,0
2017-02-14,KAU16,"25,000",0,0,0,0,0,0,0,0
2017-02-13,KAU16,"25,000",1150,4.82,"25,000","25,000","25,000","1,900","47,500,000","25,000"
2017-02-10,KAU16,"23,850",-2600,-9.83,"25,000","25,000","23,850","50,000","1,199,125,000","23,983"
2017-02-09,KAU16,"26,450",-50,-0.19,0,0,0,0,0,0
2017-02-08,KAU16,"26,500",0,0,"26,500","26,500","26,500","10,000","265,000,000","26,500"
2017-02-07,KAU16,"26,500",500,1.92,"26,000","26,500","26,000","17,500","458,750,000","26,214"
2017-02-06,KAU16,"26,000",1000,4,"26,000","26,000","26,000","5,000","130,000,000","26,000"
2017-02-03,KAU16,"25,000",700,2.88,"24,800","25,000","24,800","25,000","621,000,000","24,840"
2017-02-02,KAU16,"24,300",750,3.18,"24,300","24,300","24,300","10,000","243,000,000","24,300"
2017-02-01,KAU16,"23,550",550,2.39,"23,550","23,550","23,550","20,000","471,000,000","23,550"
2017-01-31,KAU16,"23,000",0,0,0,0,0,0,0,0
2017-01-26,KAU16,"23,000",1000,4.55,"23,000","23,000","23,000","28,883","614,154,700","21,264"
2017-01-25,KAU16,"22,000",1000,4.76,"21,550","22,000","21,550","15,000","325,500,000","21,700"
2017-01-24,KAU16,"21,000",100,0.48,"21,000","21,000","21,000","40,000","840,000,000","21,000"
2017-01-23,KAU16,"20,900",50,0.24,"20,900","20,900","20,900","20,000","418,000,000","20,900"
2017-01-20,KAU16,"20,850",0,0,"20,850","20,850","20,850","20,000","417,000,000","20,850"
2017-01-19,KAU16,"20,850",0,0,"20,850","20,850","20,850","10,000","208,500,000","20,850"
2017-01-18,KAU16,"20,850",350,1.71,"20,500","20,850","20,500","150,000","3,091,500,000","20,610"
2017-01-17,KAU16,"20,500",900,4.59,"20,500","20,500","20,500","2,850","58,425,000","20,500"
2017-01-16,KAU16,"19,600",0,0,0,0,0,0,0,0
2017-01-13,KAU16,"19,600",0,0,0,0,0,0,0,0
2017-01-12,KAU16,"19,600",0,0,0,0,0,0,0,0
2017-01-11,KAU16,"19,600",100,0.51,0,0,0,0,0,0
2017-01-10,KAU16,"19,500",0,0,"19,500","19,500","19,500","8,500","165,750,000","19,500"
2017-01-09,KAU16,"19,500",0,0,0,0,0,0,0,0
2017-01-06,KAU16,"19,500",0,0,0,0,0,0,0,0
2017-01-05,KAU16,"19,500",0,0,0,0,0,0,0,0
2017-01-04,KAU16,"19,500",0,0,0,0,0,0,0,0
2017-01-03,KAU16,"19,500",200,1.04,"19,500","19,500","19,500","10,000","195,000,000","19,500"
2017-01-02,KAU16,"19,300",0,0,0,0,0,0,0,0
2016-12-29,KAU16,"19,300",0,0,0,0,0,0,0,0
2016-12-28,KAU16,"19,300",0,0,"19,500","19,500","19,300","4,000","77,240,000","19,310"
2016-12-27,KAU16,"19,300",0,0,0,0,0,0,0,0
2016-12-26,KAU16,"19,300",0,0,0,0,0,0,0,0
2016-12-23,KAU16,"19,300",100,0.52,"19,300","19,300","19,300","30,000","579,000,000","19,300"
2016-12-22,KAU16,"19,200",0,0,0,0,0,0,0,0
2016-12-21,KAU16,"19,200",0,0,0,0,0,0,0,0
2016-12-20,KAU16,"19,200",100,0.52,0,0,0,0,0,0
2016-12-19,KAU16,"19,100",0,0,0,0,0,0,0,0
2016-12-16,KAU16,"19,100",0,0,0,0,0,0,0,0
2016-12-15,KAU16,"19,100",0,0,0,0,0,0,0,0
2016-12-14,KAU16,"19,100",0,0,0,0,0,0,0,0
2016-12-13,KAU16,"19,100",0,0,"19,100","19,100","19,100","9,000","171,900,000","19,100"
2016-12-12,KAU16,"19,100",0,0,"19,100","19,100","19,000","49,000","935,400,000","19,090"
2016-12-09,KAU16,"19,100",0,0,0,0,0,"100,000","1,780,000,000","17,800"
2016-12-08,KAU16,"19,100",0,0,0,0,0,0,0,0
2016-12-07,KAU16,"19,100",0,0,0,0,0,0,0,0
2016-12-06,KAU16,"19,100",100,0.53,"19,100","19,100","19,100","14,000","267,400,000","19,100"
2016-12-05,KAU16,"19,000",400,2.15,"19,000","19,000","19,000","11,000","209,000,000","19,000"
2016-12-02,KAU16,"18,600",0,0,0,0,0,0,0,0
2016-12-01,KAU16,"18,600",0,0,0,0,0,0,0,0
2016-11-30,KAU16,"18,600",0,0,0,0,0,0,0,0
2016-11-29,KAU16,"18,600",100,0.54,0,0,0,0,0,0
2016-11-28,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-25,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-24,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-23,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-22,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-21,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-18,KAU16,"18,500",0,0,"18,500","18,500","18,500","162,000","2,922,000,000","18,037"
2016-11-17,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-16,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-15,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-14,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-11,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-10,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-09,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-08,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-07,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-04,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-03,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-02,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-11-01,KAU16,"18,500",0,0,"18,500","18,500","18,500","6,900","127,650,000","18,500"
2016-10-31,KAU16,"18,500",0,0,"18,500","18,500","18,500","10,100","186,850,000","18,500"
2016-10-28,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-10-27,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-10-26,KAU16,"18,500",0,0,0,0,0,0,0,0
2016-10-25,KAU16,"18,500",500,2.78,"18,500","18,500","18,500","1,000","18,500,000","18,500"
2016-10-24,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-21,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-20,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-19,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-18,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-17,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-14,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-13,KAU16,"18,000",0,0,"18,000","18,000","18,000","8,000","144,000,000","18,000"
2016-10-12,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-11,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-10,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-07,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-06,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-05,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-10-04,KAU16,"18,000",0,0,0,0,0,0,0,0
2016-09-30,KAU16,"18,000",500,2.86,"18,000","18,000","18,000","30,000","540,000,000","18,000"
2016-09-29,KAU16,"17,500",0,0,0,0,0,0,0,0
2016-09-28,KAU16,"17,500",0,0,"17,500","17,500","17,500","15,000","262,500,000","17,500"
2016-09-27,KAU16,"17,500",0,0,0,0,0,0,0,0
2016-09-26,KAU16,"17,500",0,0,"17,500","17,500","17,500","40,000","700,000,000","17,500"
2016-09-23,KAU16,"17,500",0,0,"17,500","17,500","17,500","20,000","350,000,000","17,500"
2016-09-22,KAU16,"17,500",0,0,0,0,0,0,0,0
2016-09-21,KAU16,"17,500",500,2.94,"17,500","17,500","17,500","25,000","437,500,000","17,500"
2016-09-20,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-09-19,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-09-13,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-09-12,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-09-09,KAU16,"17,000",0,0,0,0,0,"45,000","765,000,000","17,000"
2016-09-08,KAU16,"17,000",0,0,0,0,0,"45,000","765,000,000","17,000"
2016-09-07,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-09-06,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-09-05,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-09-02,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-09-01,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-08-31,KAU16,"17,000",0,0,0,0,0,"61,894","1,052,198,000","17,000"
2016-08-30,KAU16,"17,000",0,0,"17,000","17,000","17,000","99,660","1,694,220,000","17,000"
2016-08-29,KAU16,"17,000",0,0,"17,000","17,000","17,000","50,000","850,000,000","17,000"
2016-08-26,KAU16,"17,000",0,0,"17,000","17,000","17,000","30,000","510,000,000","17,000"
2016-08-25,KAU16,"17,000",0,0,"17,000","17,000","17,000","10,000","170,000,000","17,000"
2016-08-24,KAU16,"17,000",0,0,0,0,0,"120,000","2,040,000,000","17,000"
2016-08-23,KAU16,"17,000",0,0,"17,000","17,000","17,000","30,000","510,000,000","17,000"
2016-08-22,KAU16,"17,000",500,3.03,"17,000","17,000","17,000","10,000","170,000,000","17,000"
2016-08-19,KAU16,"16,500",0,0,0,0,0,0,0,0
2016-08-18,KAU16,"16,500",0,0,0,0,0,0,0,0
2016-08-17,KAU16,"16,500",0,0,0,0,0,0,0,0
2016-08-16,KAU16,"16,500",0,0,0,0,0,0,0,0
2016-08-12,KAU16,"16,500",0,0,0,0,0,0,0,0
2016-08-11,KAU16,"16,500",-500,-2.94,"16,700","16,700","16,500","15,000","248,500,000","16,567"
2016-08-10,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-08-09,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-08-08,KAU16,"17,000",0,0,"17,000","17,000","17,000",670,"11,390,000","17,000"
2016-08-05,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-08-04,KAU16,"17,000",0,0,"17,000","17,000","17,000","15,000","255,000,000","17,000"
2016-08-03,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-08-02,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-08-01,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-29,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-28,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-27,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-26,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-25,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-22,KAU16,"17,000",0,0,"17,000","17,000","17,000","50,000","850,000,000","17,000"
2016-07-21,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-20,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-19,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-18,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-15,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-14,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-13,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-12,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-11,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-08,KAU16,"17,000",0,0,0,0,0,"66,000","1,072,500,000","16,250"
2016-07-07,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-06,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-05,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-07-04,KAU16,"17,000",0,0,0,0,0,"80,000","1,264,000,000","15,800"
2016-07-01,KAU16,"17,000",0,0,0,0,0,0,0,0
2016-06-30,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-29,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-28,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-27,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-24,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-23,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-22,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-21,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-20,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-17,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-16,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-15,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-14,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-13,KAU16,"16,600",0,0,0,0,0,0,0,0
2016-06-10,KAU16,"8,000",0,0,0,0,0,0,0,0
2016-06-09,KAU16,"8,000",0,0,0,0,0,0,0,0
2016-06-08,KAU16,"8,000",120,1.52,0,0,0,0,0,0
2016-06-07,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-06-03,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-06-02,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-06-01,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-31,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-30,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-27,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-26,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-25,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-24,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-23,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-20,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-19,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-18,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-17,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-16,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-13,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-12,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-11,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-10,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-09,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-04,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-03,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-05-02,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-29,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-28,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-27,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-26,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-25,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-22,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-21,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-20,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-19,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-18,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-15,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-14,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-12,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-11,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-08,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-07,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-06,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-05,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-04,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-04-01,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-31,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-30,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-29,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-28,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-25,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-24,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-23,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-22,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-21,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-18,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-17,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-16,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-15,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-14,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-11,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-10,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-09,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-08,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-07,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-04,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-03,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-03-02,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-29,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-26,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-25,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-24,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-23,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-22,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-19,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-18,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-17,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-16,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-15,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-12,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-11,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-05,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-04,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-03,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-02,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-02-01,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-01-29,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-01-28,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-01-27,KAU16,"7,880",0,0,0,0,0,0,0,0
2016-01-26,KAU16,"7,880",0,0,0,0,0,0,0,0
