일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
2018-06-04,KAU17,"22,800",-200,-0.87,"22,800","23,000","22,800","4,834,386","108,758,499,400","22,497"
2018-06-01,KAU17,"23,000",-200,-0.86,"24,350","24,350","23,000","296,256","6,601,902,650","22,284"
2018-05-31,KAU17,"23,200",50,0.22,"22,500","23,200","22,500","393,389","8,987,177,000","22,846"
2018-05-30,KAU17,"23,150",-2550,-9.92,"23,150","23,200","23,150","54,406","1,259,573,950","23,151"
2018-05-29,KAU17,"25,700",-300,-1.15,"25,900","26,000","25,700","19,300","500,231,850","25,919"
2018-05-28,KAU17,"26,000",700,2.77,"26,000","26,000","26,000","3,000","78,000,000","26,000"
2018-05-25,KAU17,"25,300",2300,10,"25,000","25,300","25,000","81,457","1,929,846,000","23,692"
2018-05-24,KAU17,"23,000",400,1.77,"22,600","23,000","22,600","99,000","2,240,200,000","22,628"
2018-05-23,KAU17,"22,600",200,0.89,0,0,0,"527,000","11,483,300,000","21,790"
2018-05-21,KAU17,"22,400",100,0.45,"22,400","22,400","22,400","15,177","337,377,400","22,230"
2018-05-18,KAU17,"22,300",100,0.45,0,0,0,"130,000","2,873,000,000","22,100"
2018-05-17,KAU17,"22,200",50,0.23,"22,200","22,200","22,200","35,001","777,022,200","22,200"
2018-05-16,KAU17,"22,150",50,0.23,"22,150","22,150","22,150","46,000","1,018,000,000","22,130"
2018-05-15,KAU17,"22,100",50,0.23,"22,100","22,100","22,100","11,000","242,500,000","22,045"
2018-05-14,KAU17,"22,050",0,0,0,0,0,0,0,0
2018-05-11,KAU17,"22,050",0,0,"22,050","22,050","22,050","5,086","112,146,300","22,050"
2018-05-10,KAU17,"22,050",50,0.23,"22,000","22,050","22,000","95,902","2,112,139,100","22,024"
2018-05-09,KAU17,"22,000",0,0,"22,000","22,000","22,000","54,377","1,196,294,000","22,000"
2018-05-08,KAU17,"22,000",0,0,"22,000","22,000","22,000","23,000","506,000,000","22,000"
2018-05-04,KAU17,"22,000",0,0,"22,000","22,000","22,000","150,470","3,310,340,000","22,000"
2018-05-03,KAU17,"22,000",0,0,"22,000","22,000","22,000","13,000","286,000,000","22,000"
2018-05-02,KAU17,"22,000",-100,-0.45,"22,000","22,000","22,000","46,500","1,023,000,000","22,000"
2018-04-30,KAU17,"22,100",100,0.45,"22,050","22,100","22,050","15,272","337,161,200","22,077"
2018-04-27,KAU17,"22,000",0,0,"22,000","22,000","22,000","232,214","5,108,708,000","22,000"
2018-04-26,KAU17,"22,000",-100,-0.45,"22,100","22,100","22,000","12,900","283,875,000","22,006"
2018-04-25,KAU17,"22,100",100,0.45,"22,100","22,100","22,000","90,797","1,997,734,000","22,002"
2018-04-24,KAU17,"22,000",0,0,"22,000","22,000","22,000","67,803","1,491,366,000","21,996"
2018-04-23,KAU17,"22,000",0,0,"22,000","22,000","22,000","48,900","1,075,800,000","22,000"
2018-04-20,KAU17,"22,000",0,0,"22,000","22,000","22,000","46,100","1,014,200,000","22,000"
2018-04-19,KAU17,"22,000",0,0,"22,000","22,000","22,000","31,410","691,020,000","22,000"
2018-04-18,KAU17,"22,000",50,0.23,"22,000","22,000","22,000","138,313","3,038,040,350","21,965"
2018-04-17,KAU17,"21,950",50,0.23,"21,950","21,950","21,950","16,000","350,300,000","21,894"
2018-04-16,KAU17,"21,900",0,0,"21,900","21,900","21,900","84,263","1,845,359,700","21,900"
2018-04-13,KAU17,"21,900",0,0,"21,850","21,900","21,850","32,237","704,890,300","21,866"
2018-04-12,KAU17,"21,900",100,0.46,"21,850","21,900","21,850","22,010","480,919,000","21,850"
2018-04-11,KAU17,"21,800",0,0,"21,800","21,800","21,800","72,408","1,579,094,400","21,808"
2018-04-10,KAU17,"21,800",0,0,0,0,0,"261,575","5,703,535,000","21,805"
2018-04-09,KAU17,"21,800",0,0,"21,800","21,800","21,800","14,000","305,200,000","21,800"
2018-04-06,KAU17,"21,800",-100,-0.46,"21,900","21,900","21,800","160,560","3,518,108,000","21,911"
2018-04-05,KAU17,"21,900",-100,-0.45,"22,000","22,000","21,900","90,361","1,986,106,500","21,980"
2018-04-04,KAU17,"22,000",-100,-0.45,"22,000","22,000","22,000","206,000","4,532,000,000","22,000"
2018-04-03,KAU17,"22,100",100,0.45,"22,050","22,100","22,050","67,000","1,479,600,000","22,084"
2018-04-02,KAU17,"22,000",0,0,"22,000","22,000","22,000","115,917","2,550,174,000","22,000"
2018-03-30,KAU17,"22,000",0,0,"22,000","22,000","22,000","76,544","1,683,968,000","22,000"
2018-03-29,KAU17,"22,000",0,0,"22,000","22,000","22,000","77,800","1,711,600,000","22,000"
2018-03-28,KAU17,"22,000",0,0,"22,000","22,000","22,000","76,000","1,672,300,000","22,004"
2018-03-27,KAU17,"22,000",-200,-0.9,"22,200","22,200","22,000","56,857","1,257,025,400","22,109"
2018-03-26,KAU17,"22,200",200,0.91,"22,000","22,200","22,000","61,730","1,359,266,800","22,020"
2018-03-23,KAU17,"22,000",0,0,"22,000","22,000","22,000","55,000","1,210,000,000","22,000"
2018-03-22,KAU17,"22,000",0,0,"22,000","22,050","22,000","53,280","1,172,210,000","22,001"
2018-03-21,KAU17,"22,000",0,0,"22,000","22,000","22,000","61,000","1,342,000,000","22,000"
2018-03-20,KAU17,"22,000",0,0,"22,100","22,100","22,000","80,550","1,772,700,000","22,007"
2018-03-19,KAU17,"22,000",-200,-0.9,"22,000","22,000","22,000","75,000","1,650,000,000","22,000"
2018-03-16,KAU17,"22,200",200,0.91,"22,000","22,200","22,000","55,450","1,221,990,000","22,038"
2018-03-15,KAU17,"22,000",-100,-0.45,"21,600","22,000","21,600","82,500","1,799,000,000","21,806"
2018-03-14,KAU17,"22,100",0,0,0,0,0,"76,000","1,680,200,000","22,108"
2018-03-13,KAU17,"22,100",-400,-1.78,"22,300","22,300","22,000","83,193","1,840,603,900","22,125"
2018-03-12,KAU17,"22,500",300,1.35,"22,200","22,500","22,200","31,694","706,606,800","22,295"
2018-03-09,KAU17,"22,200",0,0,"22,200","22,200","22,200","10,000","222,000,000","22,200"
2018-03-08,KAU17,"22,200",0,0,0,0,0,0,0,0
2018-03-07,KAU17,"22,200",0,0,"22,200","22,200","22,200","54,257","1,203,605,400","22,183"
2018-03-06,KAU17,"22,200",200,0.91,"22,000","22,200","22,000","9,500","209,300,000","22,032"
2018-03-05,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-03-02,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-02-28,KAU17,"22,000",0,0,"22,000","22,000","22,000","6,500","143,000,000","22,000"
2018-02-27,KAU17,"22,000",0,0,"22,000","22,000","22,000","79,944","1,758,827,300","22,001"
2018-02-26,KAU17,"22,000",0,0,"22,000","22,000","22,000","25,000","550,000,000","22,000"
2018-02-23,KAU17,"22,000",0,0,"22,000","22,000","22,000","12,400","272,800,000","22,000"
2018-02-22,KAU17,"22,000",0,0,"22,000","22,000","22,000","15,000","330,000,000","22,000"
2018-02-21,KAU17,"22,000",0,0,"22,000","22,000","22,000","21,000","462,000,000","22,000"
2018-02-20,KAU17,"22,000",0,0,"22,000","22,000","22,000","4,193","92,246,000","22,000"
2018-02-19,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-02-14,KAU17,"22,000",-200,-0.9,"22,000","22,000","22,000","16,000","352,000,000","22,000"
2018-02-13,KAU17,"22,200",200,0.91,"22,000","22,200","22,000","70,000","1,542,000,000","22,029"
2018-02-12,KAU17,"22,000",0,0,"22,000","22,000","22,000","1,000","22,000,000","22,000"
2018-02-09,KAU17,"22,000",0,0,"22,000","22,000","22,000","5,713","125,686,000","22,000"
2018-02-08,KAU17,"22,000",0,0,"22,000","22,000","22,000","448,000","9,856,000,000","22,000"
2018-02-07,KAU17,"22,000",0,0,"22,000","22,000","22,000","7,257","159,354,000","21,959"
2018-02-06,KAU17,"22,000",100,0.46,"22,000","22,000","22,000","51,000","1,122,000,000","22,000"
2018-02-05,KAU17,"21,900",0,0,"21,900","21,900","21,900","208,286","4,561,463,400","21,900"
2018-02-02,KAU17,"21,900",-100,-0.45,"21,800","21,900","21,800","36,000","789,000,000","21,917"
2018-02-01,KAU17,"22,000",0,0,0,0,0,"310,000","6,820,000,000","22,000"
2018-01-31,KAU17,"22,000",100,0.46,"22,000","22,000","22,000","15,196","333,712,000","21,961"
2018-01-30,KAU17,"21,900",200,0.92,"21,800","21,900","21,800","15,000","328,000,000","21,867"
2018-01-29,KAU17,"21,700",-300,-1.36,"21,500","21,700","21,500","10,000","216,000,000","21,600"
2018-01-26,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-01-25,KAU17,"22,000",500,2.33,"22,000","22,000","22,000","81,430","1,791,460,000","22,000"
2018-01-24,KAU17,"21,500",-500,-2.27,"21,500","21,500","21,500","703,000","15,398,900,000","21,905"
2018-01-23,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-01-22,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-01-19,KAU17,"22,000",0,0,"22,000","22,000","22,000","28,000","616,000,000","22,000"
2018-01-18,KAU17,"22,000",0,0,"22,000","22,000","22,000","11,405","250,910,000","22,000"
2018-01-17,KAU17,"22,000",0,0,"22,000","22,000","22,000","18,000","396,000,000","22,000"
2018-01-16,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-01-15,KAU17,"22,000",0,0,"22,000","22,000","22,000","4,000","88,000,000","22,000"
2018-01-12,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-01-11,KAU17,"22,000",0,0,"22,000","22,000","22,000","247,600","5,447,200,000","22,000"
2018-01-10,KAU17,"22,000",0,0,"22,000","22,000","22,000","7,205","154,910,000","21,500"
2018-01-09,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-01-08,KAU17,"22,000",0,0,0,0,0,0,0,0
2018-01-05,KAU17,"22,000",2000,10,"22,000","22,000","22,000","45,400","998,800,000","22,000"
2018-01-04,KAU17,"20,000",0,0,0,0,0,0,0,0
2018-01-03,KAU17,"20,000",0,0,"20,000","20,000","20,000","26,000","530,200,000","20,392"
2018-01-02,KAU17,"20,000",0,0,0,0,0,0,0,0
2017-12-28,KAU17,"20,000",-2000,-9.09,"22,000","22,000","20,000","233,000","4,942,350,000","21,212"
2017-12-27,KAU17,"22,000",0,0,"22,000","22,000","22,000","378,000","8,325,200,000","22,024"
2017-12-26,KAU17,"22,000",0,0,"22,000","22,000","22,000","269,945","5,950,537,400","22,044"
2017-12-22,KAU17,"22,000",0,0,"22,000","22,000","22,000","25,100","552,200,000","22,000"
2017-12-21,KAU17,"22,000",200,0.92,"21,900","22,000","21,900","28,249","621,378,000","21,996"
2017-12-20,KAU17,"21,800",-400,-1.8,"22,200","22,200","21,800","69,350","1,530,970,000","22,076"
2017-12-19,KAU17,"22,200",200,0.91,"22,000","22,200","22,000","25,333","559,046,200","22,068"
2017-12-18,KAU17,"22,000",200,0.92,"22,000","22,000","22,000","3,000","66,000,000","22,000"
2017-12-15,KAU17,"21,800",0,0,"21,800","21,800","21,800","1,000","21,800,000","21,800"
2017-12-14,KAU17,"21,800",300,1.4,"21,500","21,800","21,500","42,000","903,300,000","21,507"
2017-12-13,KAU17,"21,500",0,0,"21,600","21,600","21,500","51,750","1,119,685,800","21,636"
2017-12-12,KAU17,"21,500",-1000,-4.44,"22,000","22,000","21,500","25,000","540,000,000","21,600"
2017-12-11,KAU17,"22,500",0,0,"22,500","22,500","22,500","25,250","568,125,000","22,500"
2017-12-08,KAU17,"22,500",0,0,"23,000","23,000","22,500","165,000","3,716,500,000","22,524"
2017-12-07,KAU17,"22,500",550,2.51,"22,000","22,500","22,000","12,100","272,200,000","22,496"
2017-12-06,KAU17,"21,950",800,3.78,0,0,0,"6,000","139,500,000","23,250"
2017-12-05,KAU17,"21,150",-2350,-10,"22,100","22,100","21,150","5,647","121,155,850","21,455"
2017-12-04,KAU17,"23,500",0,0,0,0,0,0,0,0
2017-12-01,KAU17,"23,500",-500,-2.08,0,0,0,0,0,0
2017-11-30,KAU17,"24,000",-500,-2.04,"24,000","24,000","24,000","22,432","538,368,000","24,000"
2017-11-29,KAU17,"24,500",0,0,"24,500","24,500","24,500",178,"4,361,000","24,500"
2017-11-28,KAU17,"24,500",-700,-2.78,0,0,0,0,0,0
2017-11-27,KAU17,"25,200",-2800,-10,"25,500","25,500","25,200","9,019","227,578,800","25,233"
2017-11-24,KAU17,"28,000",0,0,0,0,0,"6,000","151,200,000","25,200"
2017-11-23,KAU17,"28,000",1000,3.7,"27,300","28,000","27,300","25,000","698,250,000","27,930"
2017-11-22,KAU17,"27,000",1000,3.85,0,0,0,0,0,0
2017-11-21,KAU17,"26,000",0,0,"27,050","28,000","26,000","200,300","5,404,775,000","26,983"
2017-11-20,KAU17,"26,000",1600,6.56,"24,800","26,000","24,800","23,000","575,000,000","25,000"
2017-11-17,KAU17,"24,400",400,1.67,"24,250","24,400","24,250","21,100","514,825,000","24,399"
2017-11-16,KAU17,"24,000",350,1.48,"24,000","24,000","24,000","10,000","240,000,000","24,000"
2017-11-15,KAU17,"23,650",50,0.21,0,0,0,"20,000","472,000,000","23,600"
2017-11-14,KAU17,"23,600",1150,5.12,"23,600","23,600","23,600","514,617","11,176,704,650","21,718"
2017-11-13,KAU17,"22,450",350,1.58,"22,450","22,450","22,450","4,000","89,800,000","22,450"
2017-11-10,KAU17,"22,100",100,0.45,"22,100","22,100","22,100","10,000","221,000,000","22,100"
2017-11-09,KAU17,"22,000",100,0.46,0,0,0,"45,000","985,500,000","21,900"
2017-11-08,KAU17,"21,900",0,0,"21,900","21,900","21,900","10,000","219,000,000","21,900"
2017-11-07,KAU17,"21,900",50,0.23,"21,900","21,900","21,900","10,000","219,000,000","21,900"
2017-11-06,KAU17,"21,850",50,0.23,0,0,0,0,0,0
2017-11-03,KAU17,"21,800",0,0,0,0,0,"45,000","981,000,000","21,800"
2017-11-02,KAU17,"21,800",0,0,0,0,0,"50,000","1,100,000,000","22,000"
2017-11-01,KAU17,"21,800",0,0,0,0,0,"23,400","503,100,000","21,500"
2017-10-31,KAU17,"21,800",150,0.69,0,0,0,"135,000","2,922,750,000","21,650"
2017-10-30,KAU17,"21,650",150,0.7,0,0,0,"160,000","3,440,000,000","21,500"
2017-10-27,KAU17,"21,500",0,0,"21,500","21,500","21,500","26,500","578,750,000","21,840"
2017-10-26,KAU17,"21,500",0,0,0,0,0,0,0,0
2017-10-25,KAU17,"21,500",150,0.7,0,0,0,0,0,0
2017-10-24,KAU17,"21,350",100,0.47,0,0,0,"20,000","425,000,000","21,250"
2017-10-23,KAU17,"21,250",50,0.24,0,0,0,0,0,0
2017-10-20,KAU17,"21,200",0,0,0,0,0,0,0,0
2017-10-19,KAU17,"21,200",100,0.47,0,0,0,0,0,0
2017-10-18,KAU17,"21,100",50,0.24,0,0,0,0,0,0
2017-10-17,KAU17,"21,050",150,0.72,"21,050","21,050","21,050","5,000","105,250,000","21,050"
2017-10-16,KAU17,"20,900",0,0,0,0,0,0,0,0
2017-10-13,KAU17,"20,900",100,0.48,0,0,0,0,0,0
2017-10-12,KAU17,"20,800",0,0,0,0,0,"25,000","520,000,000","20,800"
2017-10-11,KAU17,"20,800",0,0,0,0,0,0,0,0
2017-10-10,KAU17,"20,800",0,0,0,0,0,0,0,0
2017-09-29,KAU17,"20,800",100,0.48,0,0,0,"52,000","1,063,400,000","20,450"
2017-09-28,KAU17,"20,700",50,0.24,"20,700","20,700","20,700","1,000","20,700,000","20,700"
2017-09-27,KAU17,"20,650",0,0,0,0,0,0,0,0
2017-09-26,KAU17,"20,650",0,0,0,0,0,"185,000","3,820,250,000","20,650"
2017-09-25,KAU17,"20,650",0,0,0,0,0,0,0,0
2017-09-22,KAU17,"20,650",0,0,0,0,0,0,0,0
2017-09-21,KAU17,"20,650",0,0,0,0,0,0,0,0
2017-09-20,KAU17,"20,650",150,0.73,"20,650","20,650","20,650","50,500","1,035,325,000","20,501"
2017-09-19,KAU17,"20,500",0,0,0,0,0,0,0,0
2017-09-18,KAU17,"20,500",200,0.99,"20,500","20,500","20,500","4,000","82,000,000","20,500"
2017-09-15,KAU17,"20,300",0,0,0,0,0,0,0,0
2017-09-14,KAU17,"20,300",0,0,"20,300","20,300","20,300","6,574","133,452,200","20,300"
2017-09-13,KAU17,"20,300",0,0,"20,300","20,300","20,300","30,000","609,000,000","20,300"
2017-09-12,KAU17,"20,300",0,0,"20,300","20,300","20,300","2,680","54,404,000","20,300"
2017-09-11,KAU17,"20,300",0,0,"20,300","20,300","20,300","62,500","1,268,750,000","20,300"
2017-09-08,KAU17,"20,300",0,0,"20,300","20,300","20,300","10,000","203,000,000","20,300"
2017-09-07,KAU17,"20,300",0,0,"20,300","20,300","20,300","12,500","253,750,000","20,300"
2017-09-06,KAU17,"20,300",0,0,"20,300","20,300","20,300","64,000","1,286,000,000","20,094"
2017-09-05,KAU17,"20,300",0,0,0,0,0,0,0,0
2017-09-04,KAU17,"20,300",0,0,"20,300","20,300","20,300","31,860","646,758,000","20,300"
2017-09-01,KAU17,"20,300",0,0,0,0,0,"5,000","101,500,000","20,300"
2017-08-31,KAU17,"20,300",0,0,"20,300","20,300","20,300","10,000","203,000,000","20,300"
2017-08-30,KAU17,"20,300",0,0,"20,300","20,300","20,300","10,000","203,000,000","20,300"
2017-08-29,KAU17,"20,300",0,0,0,0,0,0,0,0
2017-08-28,KAU17,"20,300",0,0,"20,300","20,300","20,300","22,307","452,832,100","20,300"
2017-08-25,KAU17,"20,300",0,0,"20,300","20,300","20,300","10,000","203,000,000","20,300"
2017-08-24,KAU17,"20,300",0,0,"20,300","20,300","20,300","10,000","203,000,000","20,300"
2017-08-23,KAU17,"20,300",250,1.25,"20,050","20,300","20,050","42,500","853,750,000","20,088"
2017-08-22,KAU17,"20,050",0,0,"20,050","20,050","20,050","3,000","60,150,000","20,050"
2017-08-21,KAU17,"20,050",50,0.25,0,0,0,0,0,0
2017-08-18,KAU17,"20,000",-100,-0.5,"20,000","20,000","20,000","5,000","100,000,000","20,000"
2017-08-17,KAU17,"20,100",-100,-0.5,"20,100","20,200","20,100","13,500","272,050,000","20,152"
2017-08-16,KAU17,"20,200",-100,-0.49,"20,200","20,300","20,200","42,500","861,250,000","20,265"
2017-08-14,KAU17,"20,300",0,0,0,0,0,"115,000","2,334,500,000","20,300"
2017-08-11,KAU17,"20,300",0,0,"20,300","20,300","20,200","51,669","1,047,555,700","20,274"
2017-08-10,KAU17,"20,300",0,0,"20,300","20,300","20,300","19,931","404,599,300","20,300"
2017-08-09,KAU17,"20,300",0,0,"20,300","20,300","20,300","4,400","89,320,000","20,300"
2017-08-08,KAU17,"20,300",0,0,"20,300","20,300","20,300","20,000","406,000,000","20,300"
2017-08-07,KAU17,"20,300",-50,-0.25,0,0,0,"38,234","778,061,900","20,350"
2017-08-04,KAU17,"20,350",0,0,0,0,0,0,0,0
2017-08-03,KAU17,"20,350",0,0,"20,350","20,350","20,350",945,"19,230,750","20,350"
2017-08-02,KAU17,"20,350",0,0,"20,350","20,350","20,350","7,400","150,590,000","20,350"
2017-08-01,KAU17,"20,350",0,0,0,0,0,"50,000","1,017,500,000","20,350"
2017-07-31,KAU17,"20,350",0,0,0,0,0,0,0,0
2017-07-28,KAU17,"20,350",0,0,"20,350","20,350","20,350","10,620","216,117,000","20,350"
2017-07-27,KAU17,"20,350",0,0,"20,350","20,350","20,350","18,753","381,623,550","20,350"
2017-07-26,KAU17,"20,350",0,0,"20,350","20,350","20,350","10,547","214,631,450","20,350"
2017-07-25,KAU17,"20,350",0,0,"20,350","20,350","20,350","50,000","1,017,500,000","20,350"
2017-07-24,KAU17,"20,350",0,0,"20,350","20,350","20,350","4,296","87,423,600","20,350"
2017-07-21,KAU17,"20,350",0,0,"20,350","20,350","20,350","65,000","1,325,750,000","20,396"
2017-07-20,KAU17,"20,350",0,0,"20,350","20,350","20,350","15,500","315,425,000","20,350"
2017-07-19,KAU17,"20,350",50,0.25,"20,300","20,350","20,300","40,518","822,531,750","20,300"
2017-07-18,KAU17,"20,300",-50,-0.25,"20,350","20,350","20,300","45,000","915,521,550","20,345"
2017-07-17,KAU17,"20,350",0,0,"20,350","20,350","20,350","15,000","305,250,000","20,350"
2017-07-14,KAU17,"20,350",0,0,"20,350","20,350","20,350","15,000","305,250,000","20,350"
2017-07-13,KAU17,"20,350",0,0,"20,300","20,350","20,300","19,500","396,100,000","20,313"
2017-07-12,KAU17,"20,350",0,0,"20,350","20,350","20,350","13,100","266,585,000","20,350"
2017-07-11,KAU17,"20,350",0,0,"20,350","20,350","20,350","10,000","203,500,000","20,350"
2017-07-10,KAU17,"20,350",0,0,"20,350","20,350","20,350","6,430","130,850,500","20,350"
2017-07-07,KAU17,"20,350",0,0,0,0,0,0,0,0
2017-07-06,KAU17,"20,350",0,0,"20,350","20,350","20,350","20,000","407,000,000","20,350"
2017-07-05,KAU17,"20,350",0,0,"20,350","20,400","20,350","16,500","335,850,000","20,355"
2017-07-04,KAU17,"20,350",0,0,"20,350","20,350","20,350","10,000","203,500,000","20,350"
2017-07-03,KAU17,"20,350",0,0,"20,350","20,350","20,350","15,000","305,250,000","20,350"
2017-06-30,KAU17,"20,350",-50,-0.25,"20,350","20,350","20,350","4,996","101,668,600","20,350"
2017-06-29,KAU17,"20,400",-200,-0.97,"20,500","20,500","20,400","5,500","112,250,000","20,409"
2017-06-28,KAU17,"20,600",0,0,"20,500","20,600","20,500","10,804","221,562,400","20,507"
2017-06-27,KAU17,"20,600",0,0,"20,600","20,600","20,600","10,500","216,300,000","20,600"
2017-06-26,KAU17,"20,600",100,0.49,"20,600","20,600","20,600",300,"6,180,000","20,600"
2017-06-23,KAU17,"20,500",0,0,0,0,0,0,0,0
2017-06-22,KAU17,"20,500",0,0,0,0,0,0,0,0
2017-06-21,KAU17,"20,500",100,0.49,"20,500","20,500","20,500","30,000","615,000,000","20,500"
2017-06-20,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-19,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-16,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-15,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-14,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-13,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-12,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-09,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-08,KAU17,"20,400",0,0,0,0,0,"38,195","782,997,500","20,500"
2017-06-07,KAU17,"20,400",0,0,0,0,0,0,0,0
2017-06-05,KAU17,"20,400",-400,-1.92,"20,400","20,400","20,400","8,500","173,400,000","20,400"
2017-06-02,KAU17,"20,800",0,0,0,0,0,"158,377","3,294,241,600","20,800"
2017-06-01,KAU17,"20,800",0,0,"20,800","20,800","20,800","10,000","208,000,000","20,800"
2017-05-31,KAU17,"20,800",0,0,0,0,0,0,0,0
2017-05-30,KAU17,"20,800",200,0.97,"20,800","20,800","20,800","1,005,000","20,584,000,000","20,482"
2017-05-29,KAU17,"20,600",50,0.24,0,0,0,0,0,0
2017-05-26,KAU17,"20,550",50,0.24,0,0,0,0,0,0
2017-05-25,KAU17,"20,500",0,0,0,0,0,"22,000","451,000,000","20,500"
2017-05-24,KAU17,"20,500",-50,-0.24,"20,500","20,500","20,500","30,000","614,075,000","20,469"
